feature,importance
rank_diff,0.0879174
rank_x_round,0.07194141
avg_goals_by_round,0.06688689
round_num,0.06087261
home_avg_scored,0.055522997
rank_pts_diff,0.055193733
away_form_wins,0.05030003
home_avg_conceded,0.04826249
away_rank_pts,0.043578554
home_form_draws,0.04157927
home_rank_pts,0.041394956
away_form_losses,0.038397666
away_form_draws,0.036778945
form_wins_diff,0.036051143
home_rank,0.035251774
form_goals_diff,0.03444763
away_rank,0.03187257
home_form_wins,0.03037437
away_form_goals,0.028879067
away_avg_scored,0.027883274
home_form_goals,0.027269093
home_form_losses,0.02598131
away_avg_conceded,0.023362668
h2h_home_wins,0.0
h2h_total,0.0
h2h_away_wins,0.0
h2h_draws,0.0
is_home,0.0
